title,directors,actors,genre,comb
albela,Deepak Sareen,Govinda   Aishwarya Rai Bachchan   Jackie Shroff   Namrata Shirodkar,Romance,Deepak Sareen Govinda   Aishwarya Rai Bachchan   Jackie Shroff   Namrata Shirodkar Romance
lagaan: once upon a time in india,Ashutosh Gowariker,Aamir Khan   Gracy Singh   Rachel Shelley   Paul Blackthorne,Adventure   Drama   Musical,Ashutosh Gowariker Aamir Khan   Gracy Singh   Rachel Shelley   Paul Blackthorne Adventure   Drama   Musical
meri biwi ka jawab nahin,Pankaj Parashar   S.M. Iqbal,Akshay Kumar   Sridevi   Gulshan Grover   Laxmikant Berde,Action   Comedy,Pankaj Parashar   S.M. Iqbal Akshay Kumar   Sridevi   Gulshan Grover   Laxmikant Berde Action   Comedy
hum tumhare hain sanam,K.S. Adiyaman,Shah Rukh Khan   Madhuri Dixit   Salman Khan   Atul Agnihotri,Drama   Romance,K.S. Adiyaman Shah Rukh Khan   Madhuri Dixit   Salman Khan   Atul Agnihotri Drama   Romance
one 2 ka 4,Shashilal K. Nair,Shah Rukh Khan   Juhi Chawla   Jackie Shroff   Nirmal Pandey,Action   Comedy   Drama,Shashilal K. Nair Shah Rukh Khan   Juhi Chawla   Jackie Shroff   Nirmal Pandey Action   Comedy   Drama
devdas,Sanjay Leela Bhansali,Shah Rukh Khan   Madhuri Dixit   Aishwarya Rai Bachchan   Jackie Shroff,Musical   Romance,Sanjay Leela Bhansali Shah Rukh Khan   Madhuri Dixit   Aishwarya Rai Bachchan   Jackie Shroff Musical   Romance
aap mujhe achche lagne lage,Vikram Bhatt,Hrithik Roshan   Ameesha Patel   Kiran Kumar   Mukesh Tiwari,Action   Drama   Romance,Vikram Bhatt Hrithik Roshan   Ameesha Patel   Kiran Kumar   Mukesh Tiwari Action   Drama   Romance
kabhi khushi kabhie gham...,Karan Johar,Amitabh Bachchan   Jaya Bhaduri   Shah Rukh Khan   Kajol,Drama   Musical   Romance,Karan Johar Amitabh Bachchan   Jaya Bhaduri   Shah Rukh Khan   Kajol Drama   Musical   Romance
na tum jaano na hum,Arjun Sablok,Saif Ali Khan   Hrithik Roshan   Esha Deol   Alok Nath,Comedy   Drama   Musical,Arjun Sablok Saif Ali Khan   Hrithik Roshan   Esha Deol   Alok Nath Comedy   Drama   Musical
yaadein...,Subhash Ghai,Jackie Shroff   Hrithik Roshan   Kareena Kapoor   Amrish Puri,Musical   Drama   Romance,Subhash Ghai Jackie Shroff   Hrithik Roshan   Kareena Kapoor   Amrish Puri Musical   Drama   Romance
zubeidaa,Shyam Benegal,Karisma Kapoor   Rekha   Manoj Bajpayee   Rajit Kapoor,Adventure   Biography   Drama,Shyam Benegal Karisma Kapoor   Rekha   Manoj Bajpayee   Rajit Kapoor Adventure   Biography   Drama
chori chori chupke chupke,Abbas Alibhai Burmawalla   Mastan Alibhai Burmawalla,Preity Zinta   Salman Khan   Rani Mukerji   Amrish Puri,Drama   Musical   Romance,Abbas Alibhai Burmawalla   Mastan Alibhai Burmawalla Preity Zinta   Salman Khan   Rani Mukerji   Amrish Puri Drama   Musical   Romance
main prem ki diwani hoon,Sooraj R. Barjatya,Hrithik Roshan   Kareena Kapoor   Abhishek Bachchan   Johnny Lever,Musical   Drama   Romance,Sooraj R. Barjatya Hrithik Roshan   Kareena Kapoor   Abhishek Bachchan   Johnny Lever Musical   Drama   Romance
officer,Naeem Sha,Sunil Shetty   Raveena Tandon   Danny Denzongpa   Sadashiv Amrapurkar,Action   Crime   Drama,Naeem Sha Sunil Shetty   Raveena Tandon   Danny Denzongpa   Sadashiv Amrapurkar Action   Crime   Drama
chandni bar,Madhur Bhandarkar,Tabu   Atul Kulkarni   Rajpal Yadav   Shri Vallabh Vyas,Crime   Drama,Madhur Bhandarkar Tabu   Atul Kulkarni   Rajpal Yadav   Shri Vallabh Vyas Crime   Drama
kuch khatti kuch meethi,Rahul Rawail,Kajol   Rishi Kapoor   Rati Agnihotri   Sunil Shetty,Drama   Family,Rahul Rawail Kajol   Rishi Kapoor   Rati Agnihotri   Sunil Shetty Drama   Family
censor,Dev Anand,Dev Anand   Hema Malini   Shammi Kapoor   Rekha,Musical   Romance,Dev Anand Dev Anand   Hema Malini   Shammi Kapoor   Rekha Musical   Romance
farz,Raj Kanwar,Sunny Deol   Preity Zinta   Jackie Shroff   Om Puri,Action,Raj Kanwar Sunny Deol   Preity Zinta   Jackie Shroff   Om Puri Action
mujhe meri biwi se bachaao,Harry Baweja,Rekha   Naseeruddin Shah   Arshad Warsi   Suman Ranganathan,Comedy   Musical   Family,Harry Baweja Rekha   Naseeruddin Shah   Arshad Warsi   Suman Ranganathan Comedy   Musical   Family
mujhse dosti karoge!,Kunal Kohli,Rani Mukerji   Hrithik Roshan   Kareena Kapoor   Uday Chopra,Musical   Romance   Drama,Kunal Kohli Rani Mukerji   Hrithik Roshan   Kareena Kapoor   Uday Chopra Musical   Romance   Drama
daman: a victim of marital violence,Kalpana Lajmi,Raveena Tandon   Sayaji Shinde   Sanjay Suri   Raima Sen,Drama   Family,Kalpana Lajmi Raveena Tandon   Sayaji Shinde   Sanjay Suri   Raima Sen Drama   Family
aashiq,Indra Kumar,Bobby Deol   Rahul Dev   Dinesh Hingoo   Vrajesh Hirjee,Action   Comedy   Drama,Indra Kumar Bobby Deol   Rahul Dev   Dinesh Hingoo   Vrajesh Hirjee Action   Comedy   Drama
dil ne phir yaad kiya,Rajat Rawail,Sadashiv Amrapurkar   Vinay Anand   Pooja Batra   Govinda,Drama   Musical   Romance,Rajat Rawail Sadashiv Amrapurkar   Vinay Anand   Pooja Batra   Govinda Drama   Musical   Romance
pyaar diwana hota hai,Kirti Kumar,Rani Mukerji   Govinda   Om Puri   Laxmikant Berde,Romance,Kirti Kumar Rani Mukerji   Govinda   Om Puri   Laxmikant Berde Romance
grahan,Shashilal K. Nair,Jackie Shroff   Manisha Koirala   Anupama Verma   Prasad Purandhare,Drama   Romance,Shashilal K. Nair Jackie Shroff   Manisha Koirala   Anupama Verma   Prasad Purandhare Drama   Romance
rahul,Prakash Jha,Neha   Rajeshwari Sachdev   Gulshan Grover   Nina Kulkarni,Drama,Prakash Jha Neha   Rajeshwari Sachdev   Gulshan Grover   Nina Kulkarni Drama
ajnabee,Abbas Alibhai Burmawalla   Mastan Alibhai Burmawalla,Akshay Kumar   Bobby Deol   Kareena Kapoor   Bipasha Basu,Crime   Mystery   Thriller,Abbas Alibhai Burmawalla   Mastan Alibhai Burmawalla Akshay Kumar   Bobby Deol   Kareena Kapoor   Bipasha Basu Crime   Mystery   Thriller
jodi no.1,David Dhawan,Sanjay Dutt   Govinda   Twinkle Khanna   Monica Bedi,Comedy,David Dhawan Sanjay Dutt   Govinda   Twinkle Khanna   Monica Bedi Comedy
chhupa rustam: a musical thriller,Aziz Sejawal,Tinnu Anand   Raj Babbar   Laxmikant Berde   Avtar Gill,Crime   Drama   Romance,Aziz Sejawal Tinnu Anand   Raj Babbar   Laxmikant Berde   Avtar Gill Crime   Drama   Romance
the guru,Daisy von Scherler Mayer,Jimi Mistry   Heather Graham   Marisa Tomei   Michael McKean,Comedy   Fantasy   Music,Daisy von Scherler Mayer Jimi Mistry   Heather Graham   Marisa Tomei   Michael McKean Comedy   Fantasy   Music
pyaar tune kya kiya...,Rajat Mukherjee,Fardeen Khan   Ravi Baswani   Kannu Gill   Sonali Kulkarni,Thriller,Rajat Mukherjee Fardeen Khan   Ravi Baswani   Kannu Gill   Sonali Kulkarni Thriller
bas itna sa khwaab hai...,Goldie Behl,Rani Mukerji   Abhishek Bachchan   Sushmita Sen   Jackie Shroff,Romance,Goldie Behl Rani Mukerji   Abhishek Bachchan   Sushmita Sen   Jackie Shroff Romance
gadar: ek prem katha,Anil Sharma,Sunny Deol   Ameesha Patel   Amrish Puri   Lillete Dubey,Action   Drama   Romance,Anil Sharma Sunny Deol   Ameesha Patel   Amrish Puri   Lillete Dubey Action   Drama   Romance
mujhe kucch kehna hai,Satish Kaushik,Tusshar Kapoor   Kareena Kapoor   Amrish Puri   Rinke Khanna,Romance,Satish Kaushik Tusshar Kapoor   Kareena Kapoor   Amrish Puri   Rinke Khanna Romance
paagalpan,Joy Augustine,Karan Nath   Aarti Agarwal   Vilas Ujawane   Bharat Dabholkar,Romance,Joy Augustine Karan Nath   Aarti Agarwal   Vilas Ujawane   Bharat Dabholkar Romance
love ke liye kuch bhi karega,Eeshwar Nivas,Saif Ali Khan   Fardeen Khan   Aftab Shivdasani   Sonali Bendre,Comedy   Crime   Romance,Eeshwar Nivas Saif Ali Khan   Fardeen Khan   Aftab Shivdasani   Sonali Bendre Comedy   Crime   Romance
uljhan,Rajan Johri,Puru Rajkumar   Dipti Bhatnagar   Kanchan   Laxmikant Berde,Drama,Rajan Johri Puru Rajkumar   Dipti Bhatnagar   Kanchan   Laxmikant Berde Drama
aks,Rakeysh Omprakash Mehra,Amitabh Bachchan   Raveena Tandon   Manoj Bajpayee   Nandita Das,Thriller   Mystery,Rakeysh Omprakash Mehra Amitabh Bachchan   Raveena Tandon   Manoj Bajpayee   Nandita Das Thriller   Mystery
tum bin...: love will find a way,Anubhav Sinha,Priyanshu Chatterjee   Himanshu Malik   Sandali Sinha   Raqesh Vashisth,Drama   Romance,Anubhav Sinha Priyanshu Chatterjee   Himanshu Malik   Sandali Sinha   Raqesh Vashisth Drama   Romance
nayak: the real hero,S. Shankar,Anil Kapoor   Rani Mukerji   Amrish Puri   Johnny Lever,Drama   Action,S. Shankar Anil Kapoor   Rani Mukerji   Amrish Puri   Johnny Lever Drama   Action
dil chahta hai,Farhan Akhtar,Aamir Khan   Saif Ali Khan   Akshaye Khanna   Preity Zinta,Comedy   Drama,Farhan Akhtar Aamir Khan   Saif Ali Khan   Akshaye Khanna   Preity Zinta Comedy   Drama
hum ho gaye aap ke,Ahathian   Sunil Kumar Agrawal,Fardeen Khan   Reema Sen   Apoorva Agnihotri   Suman Ranganathan,Musical,Ahathian   Sunil Kumar Agrawal Fardeen Khan   Reema Sen   Apoorva Agnihotri   Suman Ranganathan Musical
yeh raaste hain pyaar ke,Deepak S. Shivdasani,Ajay Devgn   Madhuri Dixit   Preity Zinta   Vikram Gokhale,Romance  Drama,Deepak S. Shivdasani Ajay Devgn   Madhuri Dixit   Preity Zinta   Vikram Gokhale Romance  Drama
lajja,Rajkumar Santoshi,Rekha   Anil Kapoor   Jackie Shroff   Madhuri Dixit,Drama   Musical   Crime,Rajkumar Santoshi Rekha   Anil Kapoor   Jackie Shroff   Madhuri Dixit Drama   Musical   Crime
kaante,Sanjay Gupta,Amitabh Bachchan   Sanjay Dutt   Sunil Shetty   Mahesh Manjrekar,Action   Crime   Drama,Sanjay Gupta Amitabh Bachchan   Sanjay Dutt   Sunil Shetty   Mahesh Manjrekar Action   Crime   Drama
shirdi sai baba,Deepak Balraj Vij,Sudhir Dalvi   Dharmendra   Vikram Gokhale   Rohini Hattangadi,Drama   Mystery,Deepak Balraj Vij Sudhir Dalvi   Dharmendra   Vikram Gokhale   Rohini Hattangadi Drama   Mystery
bollywood bound,Nisha Pahuja,Neeru Bajwa   Ruby Bhatia   Vekeana Dhillon   Vikram Dhillon,Documentary,Nisha Pahuja Neeru Bajwa   Ruby Bhatia   Vekeana Dhillon   Vikram Dhillon Documentary
company,Ram Gopal Varma,Ajay Devgn   Mohanlal   Manisha Koirala   Seema Biswas,Action   Crime   Thriller,Ram Gopal Varma Ajay Devgn   Mohanlal   Manisha Koirala   Seema Biswas Action   Crime   Thriller
ittefaq,Sanjay Khanna,Sunil Shetty   Mukul Dev   Pooja Batra   Anupama Verma,Action   Drama   Thriller,Sanjay Khanna Sunil Shetty   Mukul Dev   Pooja Batra   Anupama Verma Action   Drama   Thriller
yeh teraa ghar yeh meraa ghar,Priyadarshan,Sunil Shetty   Mahima Chaudhry   Paresh Rawal   Saurabh Shukla,Comedy   Drama,Priyadarshan Sunil Shetty   Mahima Chaudhry   Paresh Rawal   Saurabh Shukla Comedy   Drama
yeh zindagi ka safar,Tanuja Chandra,Ameesha Patel   Jimmy Shergill   Nafisa Ali   Gulshan Grover,Drama,Tanuja Chandra Ameesha Patel   Jimmy Shergill   Nafisa Ali   Gulshan Grover Drama
rehnaa hai terre dil mein,Gautham Menon,Madhavan   Saif Ali Khan   Dia Mirza   Vrajesh Hirjee,Musical,Gautham Menon Madhavan   Saif Ali Khan   Dia Mirza   Vrajesh Hirjee Musical
indian,N. Maharajan,Malaika Arora   Raj Babbar   Rana Jung Bahadur   Balwant Bansal,Action   Crime   Drama,N. Maharajan Malaika Arora   Raj Babbar   Rana Jung Bahadur   Balwant Bansal Action   Crime   Drama
deewaanapan,Ashu Trikha,Arjun Rampal   Dia Mirza   Vinod Khanna   Om Puri,Romance  Drama,Ashu Trikha Arjun Rampal   Dia Mirza   Vinod Khanna   Om Puri Romance  Drama
moksha: salvation,Ashok Mehta,Arjun Rampal   Manisha Koirala   Kalpana Pandit   Suresh Oberoi,Drama   Thriller,Ashok Mehta Arjun Rampal   Manisha Koirala   Kalpana Pandit   Suresh Oberoi Drama   Thriller
tera mera saath rahen,Mahesh Manjrekar,Ajay Devgn   Sonali Bendre   Namrata Shirodkar   Prem Chopra,Drama,Mahesh Manjrekar Ajay Devgn   Sonali Bendre   Namrata Shirodkar   Prem Chopra Drama
ehsaas: the feeling,Mahesh Manjrekar,Anand Raj Anand   Sunidhi Chauhan   Nagesh Haldankar   Shakti Kapoor,Drama,Mahesh Manjrekar Anand Raj Anand   Sunidhi Chauhan   Nagesh Haldankar   Shakti Kapoor Drama
veer savarkar,Ved Rahi,Shailendra Gaur   Pankaj Berry   Tom Alter   Hemant Birje,Biography   Drama,Ved Rahi Shailendra Gaur   Pankaj Berry   Tom Alter   Hemant Birje Biography   Drama
aamdani atthanni kharcha rupaiya,K. Raghavendra Rao   A.S. Ravindra Babu,Govinda   Juhi Chawla   Tabu   Chandrachur Singh,Comedy,K. Raghavendra Rao   A.S. Ravindra Babu Govinda   Juhi Chawla   Tabu   Chandrachur Singh Comedy
pitaah,Mahesh Manjrekar,Sanjay Dutt   Nandita Das   Sachin Khedekar   Tanvi Hegde,Action   Drama,Mahesh Manjrekar Sanjay Dutt   Nandita Das   Sachin Khedekar   Tanvi Hegde Action   Drama
aankhen,Vipul Amrutlal Shah,Amitabh Bachchan   Akshay Kumar   Sushmita Sen   Arjun Rampal,Comedy   Thriller   Crime,Vipul Amrutlal Shah Amitabh Bachchan   Akshay Kumar   Sushmita Sen   Arjun Rampal Comedy   Thriller   Crime
koi mere dil se poochhe,Vinay Shukla,Jaya Bhaduri   Aftab Shivdasani   Sanjay Kapoor   Juliet Alburque,Musical   Romance   Thriller,Vinay Shukla Jaya Bhaduri   Aftab Shivdasani   Sanjay Kapoor   Juliet Alburque Musical   Romance   Thriller
style,N. Chandra,Sharman Joshi   Sahil Khan   Riya Sen   Shillpi Sharma,Musical   Comedy,N. Chandra Sharman Joshi   Sahil Khan   Riya Sen   Shillpi Sharma Musical   Comedy
maa tujhhe salaam,Tinnu Verma,Sunny Deol   Tabu   Arbaaz Khan   Tinnu Verma,Action   Drama,Tinnu Verma Sunny Deol   Tabu   Arbaaz Khan   Tinnu Verma Action   Drama
yeh dil aashiqanaa,Sandesh Kohli,Jividha Sharma   Mohan Azaad   Arun Bakshi   Rajat Bedi,Action   Romance,Sandesh Kohli Jividha Sharma   Mohan Azaad   Arun Bakshi   Rajat Bedi Action   Romance
filhaal...,Meghna Gulzar,Tabu   Sushmita Sen   Sanjay Suri   Palash Sen,Drama,Meghna Gulzar Tabu   Sushmita Sen   Sanjay Suri   Palash Sen Drama
haan maine bhi pyaar kiya,Dharmesh Darshan,Akshay Kumar   Karisma Kapoor   Abhishek Bachchan   Kader Khan,Musical   Romance,Dharmesh Darshan Akshay Kumar   Karisma Kapoor   Abhishek Bachchan   Kader Khan Musical   Romance
yeh mohabbat hai,Umesh Mehra,Akanksha Malhotra   Rahul Bhat   Nasir Khan   Pinky Campbell,Action   Romance,Umesh Mehra Akanksha Malhotra   Rahul Bhat   Nasir Khan   Pinky Campbell Action   Romance
tumko na bhool paayenge,Pankaj Parashar,Salman Khan   Sushmita Sen   Dia Mirza   Sharat Saxena,Action   Drama   Mystery,Pankaj Parashar Salman Khan   Sushmita Sen   Dia Mirza   Sharat Saxena Action   Drama   Mystery
kranti,Naresh Malhotra,Vinod Khanna   Bobby Deol   Ameesha Patel   Rati Agnihotri,Drama,Naresh Malhotra Vinod Khanna   Bobby Deol   Ameesha Patel   Rati Agnihotri Drama
escape from taliban,Ujjwal Chatterjee,Manisha Koirala   Nawab Shah   Vineeta Malik   Prithvi Zutshi,Drama   Thriller   War,Ujjwal Chatterjee Manisha Koirala   Nawab Shah   Vineeta Malik   Prithvi Zutshi Drama   Thriller   War
kya yehi pyaar hai,K. Muralimohana Rao,Jackie Shroff   Aftab Shivdasani   Ameesha Patel   Anupama Verma,Comedy   Musical   Romance,K. Muralimohana Rao Jackie Shroff   Aftab Shivdasani   Ameesha Patel   Anupama Verma Comedy   Musical   Romance
kitne door... kitne paas,Mehul Kumar,Fardeen Khan   Amrita Arora   Satish Shah   Tiku Talsania,Comedy   Romance,Mehul Kumar Fardeen Khan   Amrita Arora   Satish Shah   Tiku Talsania Comedy   Romance
vadh,Nana Patekar,Nana Patekar   Anupama Verma   Puru Rajkumar   Nakhul,Mystery   Thriller,Nana Patekar Nana Patekar   Anupama Verma   Puru Rajkumar   Nakhul Mystery   Thriller
16 december,Mani Shankar,Danny Denzongpa   Gulshan Grover   Milind Soman   Dipannita Sharma,Action   Drama   Mystery,Mani Shankar Danny Denzongpa   Gulshan Grover   Milind Soman   Dipannita Sharma Action   Drama   Mystery
dum,Eeshwar Nivas,Vivek Oberoi   Dia Mirza   Atul Kulkarni   Mukesh Rishi,Crime,Eeshwar Nivas Vivek Oberoi   Dia Mirza   Atul Kulkarni   Mukesh Rishi Crime
durga,J.D. Chakravarthi,J.D. Chakravarthi   Snehal Dabi   Jayaprakash   Priyanka,Action  Crime,J.D. Chakravarthi J.D. Chakravarthi   Snehal Dabi   Jayaprakash   Priyanka Action  Crime
humko tumse pyaar hai,Bunty Soorma,Arjun Rampal   Ameesha Patel   Bobby Deol   Achint Kaur,Romance   Thriller,Bunty Soorma Arjun Rampal   Ameesha Patel   Bobby Deol   Achint Kaur Romance   Thriller
road,Rajat Mukherjee,Manoj Bajpayee   Vivek Oberoi   Antara Mali   Sayaji Shinde,Thriller,Rajat Mukherjee Manoj Bajpayee   Vivek Oberoi   Antara Mali   Sayaji Shinde Thriller
angaar: the fire,Ajay Kashyap,Vinay Anand   Rana Jung Bahadur   Rajat Bedi   Sanober Kabir,Action,Ajay Kashyap Vinay Anand   Rana Jung Bahadur   Rajat Bedi   Sanober Kabir Action
ansh: the deadly part,Rajan Johri,Om Puri   Ashutosh Rana   Abbas   Sharbani Mukherji,Musical   Action,Rajan Johri Om Puri   Ashutosh Rana   Abbas   Sharbani Mukherji Musical   Action
lal salaam,Gaganvihari Borate,Nandita Das   Sharad S. Kapoor   Makrand Deshpande   Vijay Raaz,Musical   Action   Drama,Gaganvihari Borate Nandita Das   Sharad S. Kapoor   Makrand Deshpande   Vijay Raaz Musical   Action   Drama
yeh kaisi mohabbat,Dinkar Kapur,Krishna Abhishek   Viveka Babajee   Sheeba Bhakri   Deeksha,Musical   Drama   Romance,Dinkar Kapur Krishna Abhishek   Viveka Babajee   Sheeba Bhakri   Deeksha Musical   Drama   Romance
kasam,Shibu Mitra,Naseeruddin Shah   Sunny Deol   Chunky Pandey   Neelam,Adventure   Drama   Crime,Shibu Mitra Naseeruddin Shah   Sunny Deol   Chunky Pandey   Neelam Adventure   Drama   Crime
awara paagal deewana,Vikram Bhatt,Akshay Kumar   Sunil Shetty   Aftab Shivdasani   Preeti Jhangiani,Action   Comedy   Crime,Vikram Bhatt Akshay Kumar   Sunil Shetty   Aftab Shivdasani   Preeti Jhangiani Action   Comedy   Crime
the legend of bhagat singh,Rajkumar Santoshi,Ajay Devgn   Sushant Singh   D. Santosh   Akhilendra Mishra,Biography   Drama   History,Rajkumar Santoshi Ajay Devgn   Sushant Singh   D. Santosh   Akhilendra Mishra Biography   Drama   History
ab ke baras,Raj Kanwar,Arya Babbar   Amrita Rao   Ashutosh Rana   Shakti Kapoor,Adventure   Fantasy   Thriller,Raj Kanwar Arya Babbar   Amrita Rao   Ashutosh Rana   Shakti Kapoor Adventure   Fantasy   Thriller
mere yaar ki shaadi hai,Sanjay Gadhvi,Uday Chopra   Tulip Joshi   Jimmy Shergill   Bipasha Basu,Comedy   Drama   Musical,Sanjay Gadhvi Uday Chopra   Tulip Joshi   Jimmy Shergill   Bipasha Basu Comedy   Drama   Musical
lakshya,Farhan Akhtar,Amitabh Bachchan   Hrithik Roshan   Preity Zinta   Sharad S. Kapoor,War   Drama   Romance,Farhan Akhtar Amitabh Bachchan   Hrithik Roshan   Preity Zinta   Sharad S. Kapoor War   Drama   Romance
23rd march 1931: shaheed,Guddu Dhanoa,Bobby Deol   Sunny Deol   Amrita Singh   Rahul Dev,Biography   Drama   History,Guddu Dhanoa Bobby Deol   Sunny Deol   Amrita Singh   Rahul Dev Biography   Drama   History
badhaai ho badhaai,Satish Kaushik,Anil Kapoor   Anang Desai   Rohini Hattangadi   Vinay Jain,Comedy   Drama   Musical,Satish Kaushik Anil Kapoor   Anang Desai   Rohini Hattangadi   Vinay Jain Comedy   Drama   Musical
humraaz,Abbas Alibhai Burmawalla   Mastan Alibhai Burmawalla,Bobby Deol   Akshaye Khanna   Ameesha Patel   Johnny Lever,Action   Musical   Mystery,Abbas Alibhai Burmawalla   Mastan Alibhai Burmawalla Bobby Deol   Akshaye Khanna   Ameesha Patel   Johnny Lever Action   Musical   Mystery
maine dil tujhko diya,Sohail Khan,Sohail Khan   Sameera Reddy   Sanjay Dutt   Kabir Bedi,Romance   Action   Drama,Sohail Khan Sohail Khan   Sameera Reddy   Sanjay Dutt   Kabir Bedi Romance   Action   Drama
chori chori,Milan Luthria,Ajay Devgn   Sonali Bendre   Rani Mukerji   Kamini Kaushal,Comedy   Romance   Musical,Milan Luthria Ajay Devgn   Sonali Bendre   Rani Mukerji   Kamini Kaushal Comedy   Romance   Musical
jaani dushman: ek anokhi kahani,Rajkumar Kohli,Akshay Kumar   Atul Agnihotri   Raj Babbar   Rajat Bedi,Action   Fantasy   Horror,Rajkumar Kohli Akshay Kumar   Atul Agnihotri   Raj Babbar   Rajat Bedi Action   Fantasy   Horror
kuch tum kaho kuch hum kahein,Ravi Sharma Shankar,Vikram Gokhale   Dinesh Hingoo   Adi Irani   Farida Jalal,Action   Drama   Romance,Ravi Sharma Shankar Vikram Gokhale   Dinesh Hingoo   Adi Irani   Farida Jalal Action   Drama   Romance
kyaa dil ne kahaa,Sanjay Chhel,Rajesh Khanna   Tusshar Kapoor   Esha Deol   Raj Babbar,Family   Romance,Sanjay Chhel Rajesh Khanna   Tusshar Kapoor   Esha Deol   Raj Babbar Family   Romance
om jai jagadish,Anupam Kher,Waheeda Rehman   Anil Kapoor   Fardeen Khan   Abhishek Bachchan,Drama   Musical,Anupam Kher Waheeda Rehman   Anil Kapoor   Fardeen Khan   Abhishek Bachchan Drama   Musical
taj mahal: an eternal love story,Akbar Khan,Zulfi Sayed   Sonya Jehan   Kabir Bedi   Arbaaz Khan,Drama   Musical   Romance,Akbar Khan Zulfi Sayed   Sonya Jehan   Kabir Bedi   Arbaaz Khan Drama   Musical   Romance
yeh hai jalwa,David Dhawan,Rishi Kapoor   Salman Khan   Ameesha Patel   Rati Agnihotri,Comedy   Drama   Romance,David Dhawan Rishi Kapoor   Salman Khan   Ameesha Patel   Rati Agnihotri Comedy   Drama   Romance
dil maange more!!!,Anant Mahadevan,Shahid Kapoor   Smita Jaykar   Ayesha Takia   Tulip Joshi,Romance,Anant Mahadevan Shahid Kapoor   Smita Jaykar   Ayesha Takia   Tulip Joshi Romance
dil hai tumhaara,Kundan Shah,Arjun Rampal   Preity Zinta   Mahima Chaudhry   Jimmy Shergill,Drama   Family   Romance,Kundan Shah Arjun Rampal   Preity Zinta   Mahima Chaudhry   Jimmy Shergill Drama   Family   Romance
soch,Sushen Bhatnagar,Sanjay Kapoor   Raveena Tandon   Aditi Govitrikar   Arbaaz Khan,Thriller,Sushen Bhatnagar Sanjay Kapoor   Raveena Tandon   Aditi Govitrikar   Arbaaz Khan Thriller
boom,Kaizad Gustad,Amitabh Bachchan   Jackie Shroff   Gulshan Grover   Padma Lakshmi,Action   Crime   Mystery,Kaizad Gustad Amitabh Bachchan   Jackie Shroff   Gulshan Grover   Padma Lakshmi Action   Crime   Mystery
dil ka rishta,Naresh Malhotra,Arjun Rampal   Aishwarya Rai Bachchan   Priyanshu Chatterjee   Rakhee Gulzar,Romance,Naresh Malhotra Arjun Rampal   Aishwarya Rai Bachchan   Priyanshu Chatterjee   Rakhee Gulzar Romance
pran jaaye par shaan na jaaye,Sanjay Jha,Raveena Tandon   Namrata Shirodkar   Rinke Khanna   Divya Dutta,Drama   Comedy,Sanjay Jha Raveena Tandon   Namrata Shirodkar   Rinke Khanna   Divya Dutta Drama   Comedy
saathiya,Shaad Ali,Vivek Oberoi   Rani Mukerji   Tanuja   Satish Shah,Drama   Romance,Shaad Ali Vivek Oberoi   Rani Mukerji   Tanuja   Satish Shah Drama   Romance
chor machaaye shor,David Dhawan,Bobby Deol   Om Puri   Paresh Rawal   Shekhar Suman,Action   Comedy   Crime,David Dhawan Bobby Deol   Om Puri   Paresh Rawal   Shekhar Suman Action   Comedy   Crime
gunaah,Amol Shetge,Bipasha Basu   Dino Morea   Ashutosh Rana   Banjara,Crime   Drama,Amol Shetge Bipasha Basu   Dino Morea   Ashutosh Rana   Banjara Crime   Drama
akhiyon se goli maare,Harmesh Malhotra,Govinda   Raveena Tandon   Kader Khan   Shakti Kapoor,Comedy,Harmesh Malhotra Govinda   Raveena Tandon   Kader Khan   Shakti Kapoor Comedy
chhal,Hansal Mehta,Kay Kay Menon   Jaya Seal   Naved Aslam   Shri Vallabh Vyas,Action   Thriller   Drama,Hansal Mehta Kay Kay Menon   Jaya Seal   Naved Aslam   Shri Vallabh Vyas Action   Thriller   Drama
ek chhotisi love story,Shashilal K. Nair,Saroj Bhargava   Manisha Koirala   Aditya Seal   Ranvir Shorey,Comedy   Drama   Fantasy,Shashilal K. Nair Saroj Bhargava   Manisha Koirala   Aditya Seal   Ranvir Shorey Comedy   Drama   Fantasy
shakthi: the power,Krishna Vamshi,Karisma Kapoor   Nana Patekar   Sanjay Kapoor   Jai Gidwani,Action   Drama,Krishna Vamshi Karisma Kapoor   Nana Patekar   Sanjay Kapoor   Jai Gidwani Action   Drama
armaan,Honey Irani,Amitabh Bachchan   Anil Kapoor   Preity Zinta   Gracy Singh,Drama   Family   Romance,Honey Irani Amitabh Bachchan   Anil Kapoor   Preity Zinta   Gracy Singh Drama   Family   Romance
sur: the melody of life,Tanuja Chandra,Lucky Ali   Simone Singh   Achint Kaur   Ehsan Khan,Drama   Musical,Tanuja Chandra Lucky Ali   Simone Singh   Achint Kaur   Ehsan Khan Drama   Musical
dil vil pyar vyar,Anant Mahadevan,Madhavan   Jimmy Shergill   Sanjay Suri   Namrata Shirodkar,Romance,Anant Mahadevan Madhavan   Jimmy Shergill   Sanjay Suri   Namrata Shirodkar Romance
pyaasa,A. Muthu,Aftab Shivdasani   Anang Desai   Dinesh Hingoo   Smita Jaykar,Romance  Drama  Musical,A. Muthu Aftab Shivdasani   Anang Desai   Dinesh Hingoo   Smita Jaykar Romance  Drama  Musical
