title,directors,actors,genre,comb
dasvidaniya,Shashant Shah,Vinay Pathak   Sarita Joshi   Rajat Kapoor   Saurabh Shukla,Comedy   Drama,Shashant Shah Vinay Pathak   Sarita Joshi   Rajat Kapoor   Saurabh Shukla Comedy   Drama
mere khwabon mein jo aaye,Madhureeta Anand,Randeep Hooda   Raima Sen   Arbaaz Khan   Javed Akhtar,Drama   Fantasy   Musical,Madhureeta Anand Randeep Hooda   Raima Sen   Arbaaz Khan   Javed Akhtar Drama   Fantasy   Musical
raajneeti,Prakash Jha,Naseeruddin Shah   Arjun Rampal   Nana Patekar   Ranbir Kapoor,Action   Crime   Drama,Prakash Jha Naseeruddin Shah   Arjun Rampal   Nana Patekar   Ranbir Kapoor Action   Crime   Drama
allah ke banday,Faruk Kabir,Varun Bhagwat   Vikram Gokhale   Zakir Hussain   Bharat Jha,Action   Crime   Drama,Faruk Kabir Varun Bhagwat   Vikram Gokhale   Zakir Hussain   Bharat Jha Action   Crime   Drama
oye lucky! lucky oye!,Dibakar Banerjee,Abhay Deol   Paresh Rawal   Neetu Chandra   Archana Puran Singh,Comedy   Crime   Drama,Dibakar Banerjee Abhay Deol   Paresh Rawal   Neetu Chandra   Archana Puran Singh Comedy   Crime   Drama
1920,Vikram Bhatt,Rajneesh Duggal   Adah Sharma   Anjori Alagh   Rajendranath Zutshi,Drama   Horror   Mystery,Vikram Bhatt Rajneesh Duggal   Adah Sharma   Anjori Alagh   Rajendranath Zutshi Drama   Horror   Mystery
aloo chaat,Robby Grewal,Aftab Shivdasani   Aamna Shariff   Linda Arsenio   Sanjay Mishra,Comedy   Drama   Romance,Robby Grewal Aftab Shivdasani   Aamna Shariff   Linda Arsenio   Sanjay Mishra Comedy   Drama   Romance
lamhaa: the untold story of kashmir,Rahul Dholakia,Alisha   Asif Basra   Bipasha Basu   Burhan,Action   Drama   Thriller,Rahul Dholakia Alisha   Asif Basra   Bipasha Basu   Burhan Action   Drama   Thriller
hulla,Jaideep Varma,Sushant Singh   Kartika Rane   Rajat Kapoor   Mandeep Mazumdar,Comedy   Drama,Jaideep Varma Sushant Singh   Kartika Rane   Rajat Kapoor   Mandeep Mazumdar Comedy   Drama
ru-ba-ru,Arjun Bali,Rati Agnihotri   Shahana Goswami   Randeep Hooda   Kulbhushan Kharbanda,Drama   Romance   Thriller,Arjun Bali Rati Agnihotri   Shahana Goswami   Randeep Hooda   Kulbhushan Kharbanda Drama   Romance   Thriller
rafoo chakkar: fun on the run,B.H. Tharun Kumar,Sadashiv Amrapurkar   Tinnu Anand   Nauheed Cyrusi   Shakti Kapoor,Comedy   Crime   Drama,B.H. Tharun Kumar Sadashiv Amrapurkar   Tinnu Anand   Nauheed Cyrusi   Shakti Kapoor Comedy   Crime   Drama
wake up sid,Ayan Mukherjee,Ranbir Kapoor   Konkona Sen Sharma   Supriya Pathak   Anupam Kher,Comedy   Drama   Romance,Ayan Mukherjee Ranbir Kapoor   Konkona Sen Sharma   Supriya Pathak   Anupam Kher Comedy   Drama   Romance
fox,Deepak Tijori,Arjun Rampal   Sunny Deol   Udita Goswami   Sagarika Ghatge,Crime   Drama   Mystery,Deepak Tijori Arjun Rampal   Sunny Deol   Udita Goswami   Sagarika Ghatge Crime   Drama   Mystery
kal kissne dekha,Vivek Sharma,Brahim Achabbakhe   Jacky Bhagnani   Nushrat Bharucha   David Bueno,Action   Crime   Romance,Vivek Sharma Brahim Achabbakhe   Jacky Bhagnani   Nushrat Bharucha   David Bueno Action   Crime   Romance
dev d,Anurag Kashyap,Abhay Deol   Mahie Gill   Kalki Koechlin   Dibyendu Bhattacharya,Comedy   Drama   Romance,Anurag Kashyap Abhay Deol   Mahie Gill   Kalki Koechlin   Dibyendu Bhattacharya Comedy   Drama   Romance
sorry bhai!,Onir,Shabana Azmi   Boman Irani   Sanjay Suri   Sharman Joshi,Comedy   Drama   Romance,Onir Shabana Azmi   Boman Irani   Sanjay Suri   Sharman Joshi Comedy   Drama   Romance
new york,Kabir Khan,John Abraham   Neil Nitin Mukesh   Katrina Kaif   Irrfan Khan,Crime   Drama   History,Kabir Khan John Abraham   Neil Nitin Mukesh   Katrina Kaif   Irrfan Khan Crime   Drama   History
maharathi,Shivam Nair,Naseeruddin Shah   Om Puri   Boman Irani   Paresh Rawal,Crime   Drama   Mystery,Shivam Nair Naseeruddin Shah   Om Puri   Boman Irani   Paresh Rawal Crime   Drama   Mystery
jumbo,Kompin Kemgumnird,Akshay Kumar   Lara Dutta   Dimple Kapadia   Rajpal Yadav,Animation   Family,Kompin Kemgumnird Akshay Kumar   Lara Dutta   Dimple Kapadia   Rajpal Yadav Animation   Family
blue oranges,Rajesh Ganguly,Rajit Kapoor   Aham Sharma   Pooja Kanwal   Richashree,Mystery,Rajesh Ganguly Rajit Kapoor   Aham Sharma   Pooja Kanwal   Richashree Mystery
raavan,Mani Ratnam,Abhishek Bachchan   Aishwarya Rai Bachchan   Govinda   'Chiyaan' Vikram,Action   Adventure   Crime,Mani Ratnam Abhishek Bachchan   Aishwarya Rai Bachchan   Govinda   'Chiyaan' Vikram Action   Adventure   Crime
jalwa: fun in love,Rajiv S. Ruia,Ganesh Acharya   Neha Bhatt   Daisy   Ali G.,Comedy   Drama,Rajiv S. Ruia Ganesh Acharya   Neha Bhatt   Daisy   Ali G. Comedy   Drama
raaz: the mystery continues,Mohit Suri,Kangana Ranaut   Adhyayan Suman   Emraan Hashmi   Vicky Ahuja,Drama   Horror   Mystery,Mohit Suri Kangana Ranaut   Adhyayan Suman   Emraan Hashmi   Vicky Ahuja Drama   Horror   Mystery
do knot disturb,David Dhawan,Govinda   Sushmita Sen   Ritesh Deshmukh   Lara Dutta,Comedy   Drama,David Dhawan Govinda   Sushmita Sen   Ritesh Deshmukh   Lara Dutta Comedy   Drama
ishqiya,Abhishek Chaubey,Naseeruddin Shah   Vidya Balan   Arshad Warsi   Salman Shahid,Comedy   Drama   Romance,Abhishek Chaubey Naseeruddin Shah   Vidya Balan   Arshad Warsi   Salman Shahid Comedy   Drama   Romance
pyaar impossible!,Jugal Hansraj,Uday Chopra   Priyanka Chopra   Dino Morea   Rahul Vohra,Comedy   Romance,Jugal Hansraj Uday Chopra   Priyanka Chopra   Dino Morea   Rahul Vohra Comedy   Romance
naughty @ 40,Jag Mundhra,Govinda   Yuvika Chaudhry   Anupam Kher   Smita Jaykar,Comedy   Drama,Jag Mundhra Govinda   Yuvika Chaudhry   Anupam Kher   Smita Jaykar Comedy   Drama
chatur singh two star,Ajay Chandhok,Sanjay Dutt   Ameesha Patel   Anupam Kher   Satish Kaushik,Action   Adventure   Comedy,Ajay Chandhok Sanjay Dutt   Ameesha Patel   Anupam Kher   Satish Kaushik Action   Adventure   Comedy
chargesheet,Dev Anand,Dev Anand   Divya Dutta   Devshi Khanduri   Hansal Mehta,Drama   Thriller,Dev Anand Dev Anand   Divya Dutta   Devshi Khanduri   Hansal Mehta Drama   Thriller
jai veeru: friends forever,Puneet Sira,Rakesh Bedi   Mahek Chahal   Suraj Godambe   Dinesh Hingoo,Action   Crime   Drama,Puneet Sira Rakesh Bedi   Mahek Chahal   Suraj Godambe   Dinesh Hingoo Action   Crime   Drama
99,Krishna D.K.   Raj Nidimoru,Kunal Khemu   Boman Irani   Soha Ali Khan   Cyrus Broacha,Comedy   Crime   Drama,Krishna D.K.   Raj Nidimoru Kunal Khemu   Boman Irani   Soha Ali Khan   Cyrus Broacha Comedy   Crime   Drama
kisaan,Puneet Sira,Jackie Shroff   Sohail Khan   Arbaaz Khan   Nauheed Cyrusi,Action   Crime   Drama,Puneet Sira Jackie Shroff   Sohail Khan   Arbaaz Khan   Nauheed Cyrusi Action   Crime   Drama
wafaa,Rakesh Sawant,Rajesh Khanna   Shahib Chopra   Laila Khan   Ahad Khan,Drama   Mystery   Romance,Rakesh Sawant Rajesh Khanna   Shahib Chopra   Laila Khan   Ahad Khan Drama   Mystery   Romance
aa dekhen zara,Jehangir Surti,Neil Nitin Mukesh   Bipasha Basu   Biswajeet Chatterjee   Sophiya Chaudhary,Action   Crime   Drama,Jehangir Surti Neil Nitin Mukesh   Bipasha Basu   Biswajeet Chatterjee   Sophiya Chaudhary Action   Crime   Drama
gumnaam: the mystery,Neeraj Pathak,Dino Morea   Mahima Chaudhry   Suman Ranganathan   Arun Bali,Crime   Mystery   Romance,Neeraj Pathak Dino Morea   Mahima Chaudhry   Suman Ranganathan   Arun Bali Crime   Mystery   Romance
karthik calling karthik,Vijay Lalwani,Farhan Akhtar   Deepika Padukone   Ram Kapoor   Vivan Bhatena,Drama   Romance   Thriller,Vijay Lalwani Farhan Akhtar   Deepika Padukone   Ram Kapoor   Vivan Bhatena Drama   Romance   Thriller
race 2,Abbas Alibhai Burmawalla   Mastan Alibhai Burmawalla,Anil Kapoor   Saif Ali Khan   John Abraham   Deepika Padukone,Action   Crime   Drama,Abbas Alibhai Burmawalla   Mastan Alibhai Burmawalla Anil Kapoor   Saif Ali Khan   John Abraham   Deepika Padukone Action   Crime   Drama
13b: fear has a new address,Vikram K. Kumar,Madhavan   Neetu Chandra   Poonam Dhillon   Sachin Khedekar,Drama   Horror   Mystery,Vikram K. Kumar Madhavan   Neetu Chandra   Poonam Dhillon   Sachin Khedekar Drama   Horror   Mystery
three: love lies betrayal,Vishal Pandya,Aashish Chaudhary   Akshay Kapoor   Nausheen Ali Sardar   Achint Kaur,Drama   Mystery   Thriller,Vishal Pandya Aashish Chaudhary   Akshay Kapoor   Nausheen Ali Sardar   Achint Kaur Drama   Mystery   Thriller
mirch,Vinay Shukla,Arunoday Singh   Boman Irani   Ila Arun   Konkona Sen Sharma,Comedy   Drama   Fantasy,Vinay Shukla Arunoday Singh   Boman Irani   Ila Arun   Konkona Sen Sharma Comedy   Drama   Fantasy
dhoondte reh jaoge,Umesh Shukla,Paresh Rawal   Kunal Khemu   Sonu Sood   Soha Ali Khan,Comedy   Drama,Umesh Shukla Paresh Rawal   Kunal Khemu   Sonu Sood   Soha Ali Khan Comedy   Drama
siddharth: the prisoner,Pryas Gupta,Rajat Kapoor   Sachin Nayak   Pradip Sagar   Pradeep Kabra,Crime   Drama   Thriller,Pryas Gupta Rajat Kapoor   Sachin Nayak   Pradip Sagar   Pradeep Kabra Crime   Drama   Thriller
chance pe dance,Ken Ghosh,Shahid Kapoor   Genelia D'Souza   Mohnish Bahl   Satish Shah,Comedy   Drama   Romance,Ken Ghosh Shahid Kapoor   Genelia D'Souza   Mohnish Bahl   Satish Shah Comedy   Drama   Romance
agent vinod,Sriram Raghavan,Kareena Kapoor   Saif Ali Khan   Adil Hussain   Gulshan Grover,Action,Sriram Raghavan Kareena Kapoor   Saif Ali Khan   Adil Hussain   Gulshan Grover Action
once upon a time in mumbai,Milan Luthria,Ajay Devgn   Randeep Hooda   Kangana Ranaut   Emraan Hashmi,Crime   Drama   Romance,Milan Luthria Ajay Devgn   Randeep Hooda   Kangana Ranaut   Emraan Hashmi Crime   Drama   Romance
action replayy,Vipul Amrutlal Shah,Akshay Kumar   Aishwarya Rai Bachchan   Om Puri   Kiron Kher,Comedy   Drama   Romance,Vipul Amrutlal Shah Akshay Kumar   Aishwarya Rai Bachchan   Om Puri   Kiron Kher Comedy   Drama   Romance
straight,Parvati Balagopalan,Vinay Pathak   Gul Panag   Anuj Chaudhary   Siddharth Makkar,Comedy   Drama,Parvati Balagopalan Vinay Pathak   Gul Panag   Anuj Chaudhary   Siddharth Makkar Comedy   Drama
daddy cool: join the fun,K. Muralimohana Rao,Sunil Shetty   Aarti Chhabria   Aashish Chaudhary   Kim Sharma,Comedy   Drama,K. Muralimohana Rao Sunil Shetty   Aarti Chhabria   Aashish Chaudhary   Kim Sharma Comedy   Drama
krantiveer: the revolution,Mehul Kumar,Jahan Bloch   Samir Aftab   Aditya Rajput   Harsh Rajput,Action   Crime   Drama,Mehul Kumar Jahan Bloch   Samir Aftab   Aditya Rajput   Harsh Rajput Action   Crime   Drama
agyaat: the unknown,Ram Gopal Varma,Nitin   Priyanka Kothari   Rasika Dugal   Gautam Rode,Drama   Horror   Mystery,Ram Gopal Varma Nitin   Priyanka Kothari   Rasika Dugal   Gautam Rode Drama   Horror   Mystery
ek se bure do,Tariq Khan,Anita   Snehal Dabi   Anita Hassandani   Jagdeep,Action   Comedy   Crime,Tariq Khan Anita   Snehal Dabi   Anita Hassandani   Jagdeep Action   Comedy   Crime
apartment: rent at your own risk,Jag Mundhra,Rohit Roy   Tanushree Dutta   Neetu Chandra   Mushtaq Khan,Drama   Thriller,Jag Mundhra Rohit Roy   Tanushree Dutta   Neetu Chandra   Mushtaq Khan Drama   Thriller
we are family,Siddharth Malhotra,Kareena Kapoor   Kajol   Arjun Rampal   Amrita Prakash,Drama   Family,Siddharth Malhotra Kareena Kapoor   Kajol   Arjun Rampal   Amrita Prakash Drama   Family
no problem,Anees Bazmee,Anil Kapoor   Sanjay Dutt   Kangana Ranaut   Sunil Shetty,Action   Comedy   Crime,Anees Bazmee Anil Kapoor   Sanjay Dutt   Kangana Ranaut   Sunil Shetty Action   Comedy   Crime
mohandas,Mazhar Kamran,Sonali Kulkarni   Sharbani Mukherji   Sushant Singh   Nakul Vaid,Thriller,Mazhar Kamran Sonali Kulkarni   Sharbani Mukherji   Sushant Singh   Nakul Vaid Thriller
mumbai diaries,Kiran Rao,Prateik   Monica Dogra   Kriti Malhotra   Aamir Khan,Drama,Kiran Rao Prateik   Monica Dogra   Kriti Malhotra   Aamir Khan Drama
all the best: fun begins,Rohit Shetty,Sanjay Dutt   Ajay Devgn   Fardeen Khan   Bipasha Basu,Action   Comedy   Drama,Rohit Shetty Sanjay Dutt   Ajay Devgn   Fardeen Khan   Bipasha Basu Action   Comedy   Drama
rocket singh: salesman of the year,Shimit Amin,Ranbir Kapoor   Prem Chopra   Gauhar Khan   Mukesh Bhatt,Comedy   Drama,Shimit Amin Ranbir Kapoor   Prem Chopra   Gauhar Khan   Mukesh Bhatt Comedy   Drama
guzaarish,Sanjay Leela Bhansali,Hrithik Roshan   Aishwarya Rai Bachchan   Shernaz Patel   Aditya Roy Kapoor,Comedy   Drama   Romance,Sanjay Leela Bhansali Hrithik Roshan   Aishwarya Rai Bachchan   Shernaz Patel   Aditya Roy Kapoor Comedy   Drama   Romance
chal chala chal,Rajeev Kumar,Asrani   Asif Basra   Govinda   Manoj Joshi,Action   Comedy   Crime,Rajeev Kumar Asrani   Asif Basra   Govinda   Manoj Joshi Action   Comedy   Crime
fast forward,Zaigham Ali Syed,Vinod Khanna   Akshay Kapoor   Rehan Khan   Bhavna Pani,Action   Drama   Musical,Zaigham Ali Syed Vinod Khanna   Akshay Kapoor   Rehan Khan   Bhavna Pani Action   Drama   Musical
tum milo toh sahi,Kabir Sadanand,Nana Patekar   Dimple Kapadia   Sunil Shetty   Vidya Malvade,Comedy   Drama,Kabir Sadanand Nana Patekar   Dimple Kapadia   Sunil Shetty   Vidya Malvade Comedy   Drama
don muthu swami,Ashim S. Samanta,Mithun Chakraborty   Ali Asghar   Arun Bakshi   Rakesh Bedi,Comedy   Drama,Ashim S. Samanta Mithun Chakraborty   Ali Asghar   Arun Bakshi   Rakesh Bedi Comedy   Drama
peepli (live),Anusha Rizvi   Mahmood Farooqui,Omkar Das Manikpuri   Raghuvir Yadav   Shalini Vatsa   Farrukh Jaffar,Comedy   Drama,Anusha Rizvi   Mahmood Farooqui Omkar Das Manikpuri   Raghuvir Yadav   Shalini Vatsa   Farrukh Jaffar Comedy   Drama
rann,Ram Gopal Varma,Amitabh Bachchan   Ritesh Deshmukh   Gul Panag   Paresh Rawal,Drama   Mystery,Ram Gopal Varma Amitabh Bachchan   Ritesh Deshmukh   Gul Panag   Paresh Rawal Drama   Mystery
ek: the power of one,Sangeeth Sivan,Rana Jung Bahadur   Jaspal Bhatti   Preeti Bhutani   Bobby Deol,Action   Drama   Thriller,Sangeeth Sivan Rana Jung Bahadur   Jaspal Bhatti   Preeti Bhutani   Bobby Deol Action   Drama   Thriller
team: the force,Ajay Chandhok,Sohail Khan   Amrita Arora   Yash Tonk   Vrajesh Hirjee,Action   Comedy   Crime,Ajay Chandhok Sohail Khan   Amrita Arora   Yash Tonk   Vrajesh Hirjee Action   Comedy   Crime
khatta meetha,Priyadarshan,Akshay Kumar   Rajpal Yadav   Aruna Irani   Kulbhushan Kharbanda,Comedy   Crime   Drama,Priyadarshan Akshay Kumar   Rajpal Yadav   Aruna Irani   Kulbhushan Kharbanda Comedy   Crime   Drama
prince,Kookie V. Gulati,Vivek Oberoi   Isaiah   Aruna Shields   Nandana Sen,Action   Crime   Drama,Kookie V. Gulati Vivek Oberoi   Isaiah   Aruna Shields   Nandana Sen Action   Crime   Drama
anubhav: an actor's tale,Rajeev Nath,Jackie Shroff   Sanjay Suri   Gul Panag   Shruti Seth,Drama   Romance,Rajeev Nath Jackie Shroff   Sanjay Suri   Gul Panag   Shruti Seth Drama   Romance
happy husbands,Jaiveer,Anay   Kurush Deboo   Mohit Ghai   Ahwaan,Comedy   Drama,Jaiveer Anay   Kurush Deboo   Mohit Ghai   Ahwaan Comedy   Drama
hum tum aur ghost,Kabeer Kaushik,Arshad Warsi   Dia Mirza   Boman Irani   Sandhya Mridul,Comedy   Drama   Fantasy,Kabeer Kaushik Arshad Warsi   Dia Mirza   Boman Irani   Sandhya Mridul Comedy   Drama   Fantasy
road to sangam,Amit Rai,Paresh Rawal   Om Puri   Pavan Malhotra   Javed Sheikh,Drama   Thriller,Amit Rai Paresh Rawal   Om Puri   Pavan Malhotra   Javed Sheikh Drama   Thriller
